    455 	
      4 porte	et
      4 point	du
      4 plupart	des
      4 pieds	et
      4 pied	dans
      4 pendre	
      4 pas	et
      4 pas	assez
      4 partie	de
      4 par	une
      4 par	terre
      4 par	lequel
      4 par	jour
      4 pangloss	de
      4 où	il
      4 oui	dit
      4 or	et
      4 on	voyait
      4 on	nous
      4 on	lit
      4 on	fit
      4 on	dit
      4 n’y	eut
      4 n’y	en
      4 n’ont	pas
      4 n’en	ai
      4 n’avez	pas
      4 n’avais	pas
      4 nous	»
      4 nous	allons
      4 nos	deux
      4 ni	des
      4 ne	vois
      4 ne	lui
      4 ne	les
      4 ne	fût
      4 moral	et
      4 monsieur	
      4 mon	frère
      4 mon	cœur
      4 mon	corps
      4 mis	en
      4 millions	de
      4 mille	hommes
      4 mieux	que
      4 me	vendit
      4 martin	que
      4 mal	physique
      4 mal	moral
      4 mais	vous
      4 mais	la
      4 mais	ils
      4 mais	ce
      4 ma	vie
      4 l’un	de
      4 là	une
      4 lui	et
      4 lui	demanda
      4 lit	
      4 leur	fit
      4 leur	dit
      4 les	uns
      4 les	russes
      4 les	rois
      4 les	honneurs
      4 les	convives
      4 les	choses
      4 le	ventre
      4 le	théatin
      4 le	temps
      4 le	sujet
      4 le	soir
      4 le	royaume
      4 le	rivage
      4 le	repas
      4 le	maître
      4 le	marchand
      4 le	fidèle
      4 le	dîner
      4 le	derviche
      4 le	derrière
      4 le	bonheur
      4 la	troisième
      4 la	rage
      4 la	permission
      4 la	lettre
      4 la	justice
      4 la	fin
      4 la	fille
      4 la	feuillée
      4 la	femme
      4 la	douleur
      4 la	cour
      4 la	bonne
      4 j’ai	fait
      4 jésuite	il
      4 jésuite	
      4 jusqu’à	présent
      4 je	vis
      4 je	sais
      4 je	l’ai
      4 jamais	vu
      4 ils	sont
      4 il	leur
      4 il	la
      4 il	faisait
      4 il	eut
      4 il	en
      4 il	a
      4 ici	des
      4 huit	jours
      4 honnête	homme
      4 honneurs	de
      4 homme	du
      4 homme	de
      4 grands	coups
      4 gens	de
      4 fut	un
      4 frère	de
      4 fidèle	cacambo
      4 fait	le
      4 et	votre
      4 et	quand
      4 et	pourquoi
      4 et	mon
      4 et	ma
      4 et	leur
      4 et	d’un
      4 et	douze
      4 et	c’est
      4 et	comme
      4 est	impossible
      4 entre	ses
      4 en	portugal
      4 elle	était
      4 elle	a
      4 effets	et
      4 déjà	dans
      4 du	moins
      4 du	grand
      4 du	droit
      4 du	docteur
      4 du	côté
      4 du	bon
      4 dont	le
      4 dont	je
      4 dont	ils
      4 dire	que
      4 deux	étrangers
      4 deux	hommes
      4 deux	chevaux
      4 des	montagnes
      4 des	femmes
      4 des	deux
      4 de	surinam
      4 de	peur
      4 de	paris
      4 de	monseigneur
      4 de	mille
      4 de	l’empire
      4 de	livres
      4 de	france
      4 de	faim
      4 de	couteau
      4 de	cet
      4 de	bonnes
      4 de	bonne
      4 davantage	
      4 c’était	une
      4 c’est	que
      4 c’est	le
      4 cunégonde	est
      4 coup	de
      4 comme	la
      4 comme	des
      4 chère	
      4 cher	maître
      4 ces	mots
      4 ces	gensci
      4 ce	n’était
      4 candide	était
      4 candide	n’en
      4 candide	avec
      4 bulgares	et
      4 bien	être
      4 avoir	été
      4 avec	martin
      4 avec	lui
      4 avec	la
      4 avait	un
      4 avait	de
      4 avait	dans
      4 autres	
      4 aussitôt	il
      4 au	plus
      4 atil	pas
      4 appartenait	à
      4 ainsi	que
      4 a	fait
      4 a	donc
      4 a	des
      4 a	de
      4 	tu
      4 	quelles
      4 	pour
      4 	madame
      4 	ma
      4 	d’être
      4 	dans
      4 	cette
      4 	cela
      4 	aussitôt
      4 	au
      4 	ah
      3 ↑	la
      3 ↑	dans
      3 ↑	ce
      3 —	Ô
      3 —	tu
      3 —	si
      3 —	quel
      3 —	point
      3 —	non
      3 —	elle
      3 —	comment
      3 —	ce
      3 être	la
      3 être	
      3 êtesvous	
      3 été	mis
      3 été	chassé
      3 étrangers	
      3 état	de
      3 était	né
      3 était	la
      3 était	fort
      3 était	aussi
      3 âgée	de
      3 à	plaindre
      3 à	peu
      3 à	paquette
      3 à	pangloss
      3 à	ne
      3 à	moins
      3 à	mlle
      3 à	merveille
      3 à	me
      3 à	lisbonne
      3 à	les
      3 à	dîner
      3 à	dire
      3 à	dieppe
      3 à	des
      3 à	craindre
      3 à	condition
      3 à	cet
      3 à	celui
      3 à	celle
      3 à	bordeaux
      3 Ô	pangloss
      3 À	martin
      3 À	candide
      3 »	en
      3 »	elle
      3 »	ce
      3 «	sire
      3 «	qui
      3 «	quel
      3 «	maître
      3 «	ma
      3 «	et
      3 «	dieu
      3 «	comment
      3 yeux	de
      3 y	souza
      3 y	lampourdos
      3 y	figueora
      3 xviii	
      3 xix	page
      3 xiv	
      3 vu	des
      3 vu	dans
      3 vrai	dit
      3 voyez	la
      3 voyez	dans
      3 voyage	
      3 vous	y
      3 vous	voulez
      3 vous	serez
      3 vous	n’ayez
      3 vous	nous
      3 vous	mon
      3 vous	mener
      3 vous	et
      3 vous	devez
      3 vous	avoue
      3 vous	allez
      3 vous	
      3 voisin	
      3 vois	pas
      3 voilà	une
      3 ville	et
      3 ville	de
      3 vie	à
      3 vestphalie	»
      3 venise	il
      3 vaisseau	français
      3 va	bien
      3 une	heure
      3 une	foule
      3 une	belle
      3 un	village
      3 un	songe
      3 un	seul
      3 un	profond
      3 un	prince
      3 un	palais
      3 un	officier
      3 un	mois
      3 un	long
      3 un	capitaine
      3 un	cabinet
      3 un	cabaret
      3 un	bruit
      3 un	amiral
      3 tête	à
      3 tête	la
      3 turquie	
      3 tu	as
      3 tremblements	de
      3 toute	sa
      3 tout	nu
      3 tout	mon
      3 tout	j’ai
      3 tout	fut
      3 tout	dit
      3 tout	allait
      3 tout	
      3 tournant	vers
      3 tome	xix
      3 tome	xiv
      3 temps	à
      3 temps	en
      3 tas	de
      3 table	avec
      3 s’il	ne
      3 sœur	
      3 surprise	et
      3 sur	mon
      3 sultan	achmet
      3 sujet	de
      3 su	que
      3 sous	un
      3 sous	le
      3 souper	
      3 souhaite	dit
      3 sont	pas
      3 sont	les
      3 son	vaisseau
      3 son	frère
      3 son	cœur
      3 six	étrangers
      3 six	millions
      3 six	mille
      3 si	la
      3 si	beau
      3 se	trouvèrent
      3 se	tournant
      3 se	séparer
      3 se	promenant
      3 se	jeta
      3 se	fit
      3 se	faisait
      3 savant	qui
      3 sans	que
      3 sans	cesse
      3 sais	rien
      3 sa	vie
      3 sa	mère
      3 sa	langue
      3 sa	fille
      3 répondit	pangloss
      3 roi	d’espagne
      3 roi	charlesÉdouard
      3 rien	n’est
      3 rien	du
      3 revoir	mlle
      3 reste	de
      3 qu’on	venait
      3 qu’on	le
      3 qu’on	a
      3 qu’il	était
      3 qu’il	n’était
      3 qu’il	aimait
      3 qu’elle	était
      3 quoiqu’il	eût
      3 quinze	ans
      3 qui	ont
      3 qui	n’est
      3 qui	m’ont
      3 qui	la
      3 qui	furent
      3 qui	faisait
      3 qui	arriva
      3 qui	advint
      3 quelquefois	à
      3 quelle	était
      3 que	voltaire
      3 que	voilà
      3 que	s’il
      3 que	sur
      3 que	mon
      3 que	l’homme
      3 que	j’avais
      3 que	dix
      3 quand	nous
      3 quand	les
      3 père	provincial
      3 préférable	à
      3 près	de
      3 prit	la
      3 princesse	de
      3 prince	de
      3 prend	son
      3 pourrait	bien
      3 pourquoi	êtesvous
      3 pour	quelque
      3 pour	ne
      3 pour	en
      3 pour	des
      3 pour	avoir
      3 possibles	
      3 portugal	et
      3 portugal	
      3 point	à
      3 point	et
      3 point	
      3 pococurante	
      3 plut	à
      3 plus	à
      3 plus	rien
      3 plus	malheureux
      3 plus	horrible
      3 plus	heureux
      3 plus	dit
      3 plus	belle
      3 plaisir	à
      3 plaire	à
      3 pitié	de
      3 piastres	à
      3 physique	et
      3 philosophe	pangloss
      3 philosophe	de
      3 peu	près
      3 petite	métairie
      3 personnes	qui
      3 permission	de
      3 pays	où
      3 pays	
      3 patron	hollandais
      3 patrie	des
      3 pas	vous
      3 pas	toujours
      3 pas	qu’on
      3 pas	plus
      3 pas	les
      3 pas	fait
      3 pas	eu
      3 pas	encore
      3 pas	dans
      3 pas	ce
      3 partie	du
      3 paris	
      3 parce	que
      3 paraguai	
      3 par	tout
      3 par	ses
      3 pangloss	était
      3 pangloss	»
      3 pangloss	m’a
      3 pangloss	lui
      3 pangloss	dans
      3 où	les
      3 où	ils
      3 ou	à
      3 ou	deux
      3 ou	de
      3 ornés	de
      3 ont	été
      3 on	n’a
      3 on	m’a
      3 on	est
      3 obligée	de
      3 n’était	point
      3 n’est	plus
      3 n’en	voulut
      3 n’a	jamais
      3 nous	étions
      3 nous	verrons
      3 nous	pourrons
      3 nous	le
      3 nous	et
      3 nous	
      3 nos	filles
      3 non	plus
      3 non	dit
      3 nom	de
      3 ni	moi
      3 nerf	de
      3 ne	suis
      3 ne	sait
      3 ne	prit
      3 ne	peux
      3 ne	peuvent
      3 ne	pense
      3 ne	la
      3 ne	croit
      3 nature	est
      3 nature	
      3 naissance	
      3 même	hôtellerie
      3 mère	
      3 moutons	rouges
      3 moutons	chargés
      3 mourir	de
      3 mort	et
      3 mort	de
      3 monsieur	martin
      3 monsieur	l’abbé
      3 monsieur	dit
      3 monseigneur	l’inquisiteur
      3 monseigneur	le
      3 mon	pays
      3 mois	de
      3 moi	ni
      3 mme	la
      3 mit	en
      3 mille	sequins
      3 mille	fois
      3 mes	sens
      3 mener	en
      3 mena	dans
      3 me	mena
      3 me	faire
      3 me	donna
      3 me	disait
      3 martin	à
      3 martin	qu’il
      3 martin	ne
      3 martin	le
      3 martin	j’ai
      3 marquise	qui
      3 manger	et
      3 mangeons	du
      3 mal	de
      3 maison	de
      3 mais	qu’il
      3 mais	quand
      3 mais	pour
      3 mais	nous
      3 mais	mon
      3 mais	le
      3 mais	enfin
      3 mais	comment
      3 mais	candide
      3 mais	après
      3 ma	belle
      3 m	vanderdendur
      3 m	de
      3 l’étendue	de
      3 l’un	des
      3 l’inquisiteur	de
      3 l’histoire	de
      3 l’essai	sur
      3 l’empereur	ivan
      3 l’amour	
      3 l’abbé	
      3 lui	répliqua
      3 lui	faire
      3 lui	donner
      3 lui	ditelle
      3 lui	demander
      3 lui	dans
      3 louis	xiv
      3 longtemps	
      3 leurs	deux
      3 leurs	aventures
      3 lettre	de
      3 les	voyageurs
      3 les	trois
      3 les	personnes
      3 les	oreillons
      3 les	malheurs
      3 les	mains
      3 les	lois
      3 les	livres
      3 les	cinq
      3 les	cabarets
      3 les	baguettes
      3 les	avaient
      3 les	abares
      3 lequel	il
      3 le	voyage
      3 le	voisinage
      3 le	tremblement
      3 le	tillac
      3 le	sénateur
      3 le	sultan
      3 le	souper
      3 le	second
      3 le	savant
      3 le	quatrième
      3 le	petit
      3 le	moins
      3 le	lui
      3 le	jésuite
      3 le	juif
      3 le	juge
      3 le	jeune
      3 le	gouvernement
      3 le	frère
      3 le	fit
      3 le	fils
      3 le	feu
      3 le	fait
      3 le	ciel
      3 le	bruit
      3 le	besoin
      3 lampourdos	y
      3 la	voirie
      3 la	table
      3 la	salle
      3 la	route
      3 la	robe
      3 la	religion
      3 la	rade
      3 la	province
      3 la	propontide
      3 la	princesse
      3 la	philosophie
      3 la	peine
      3 la	paix
      3 la	nuit
      3 la	nouvelle
      3 la	manière
      3 la	gorge
      3 la	garde
      3 la	gageure
      3 la	france
      3 la	fortune
      3 la	faim
      3 la	cayenne
      3 la	canaille
      3 k	—
      3 j’étais	fort
      3 j’ai	tué
      3 j’ai	su
      3 j’ai	bien
      3 juif	et
      3 jours	de
      3 jour	du
      3 je	serais
      3 je	pense
      3 je	les
      3 je	la
      3 je	connais
      3 jamais	la
      3 jamais	il
      3 iv	
      3 ils	parlaient
      3 il	veut
      3 il	prouvait
      3 il	n’était
      3 il	n’avait
      3 il	entre
      3 il	entra
      3 il	demanda
      3 hors	du
      3 hors	de
      3 hommes	sont
      3 hommes	se
      3 hommes	qui
      3 hommes	que
